15 105
0 1 10
0 2 10
0 3 20
0 4 20
0 5 10
0 6 40
0 7 20
0 8 40
0 9 20
0 10 10
0 11 10
0 12 10
0 13 40
0 14 40
1 3 10
1 4 10
1 5 40
1 6 40
1 8 10
1 9 20
1 13 40
1 14 10
2 1 10
2 3 40
2 9 20
2 10 10
2 12 40
2 14 10
3 7 40
3 8 10
3 9 10
3 14 10
4 2 20
4 3 40
4 6 20
4 7 10
4 9 20
4 11 10
4 12 40
4 14 40
5 2 10
5 3 10
5 4 20
5 8 10
5 9 40
5 10 40
5 12 40
5 13 20
5 14 40
6 2 40
6 3 20
6 5 10
6 7 10
6 9 10
6 11 20
6 12 40
6 14 10
7 1 20
7 2 40
7 5 20
7 9 20
7 10 20
7 13 40
7 14 10
8 2 40
8 4 40
8 6 20
8 7 40
8 11 20
8 12 20
8 13 20
8 14 40
9 8 40
9 13 10
9 14 20
10 1 40
10 3 40
10 4 20
10 6 20
10 8 10
10 9 10
10 12 40
10 13 10
10 14 10
11 1 10
11 2 40
11 3 20
11 5 10
11 7 20
11 9 40
11 10 20
11 12 10
11 13 10
11 14 20
12 1 10
12 3 10
12 7 20
12 9 20
12 13 40
12 14 20
13 2 10
13 3 20
13 4 40
13 6 20
13 14 10
