15 90
0 1 20
0 2 10
0 3 10
0 4 20
0 5 10
0 6 40
0 7 40
0 8 10
0 9 10
1 3 40
1 6 20
1 10 40
1 11 20
1 13 40
2 1 10
2 3 40
2 5 10
2 6 20
2 7 40
2 8 20
2 11 10
2 12 20
2 13 40
2 14 20
3 4 20
3 5 10
3 8 20
3 9 20
3 13 20
3 14 20
4 1 10
4 2 10
4 5 20
4 6 10
4 10 10
4 12 40
4 13 20
4 14 20
5 1 20
5 7 40
5 13 20
5 14 10
6 3 20
6 5 10
6 13 20
6 14 10
7 1 10
7 3 40
7 4 20
7 6 20
7 9 10
7 10 40
7 11 40
7 14 20
8 1 10
8 4 10
8 5 40
8 12 40
8 13 10
8 14 40
9 1 10
9 2 40
9 4 40
9 5 10
9 8 20
9 14 40
10 2 10
10 3 20
10 5 40
10 6 40
10 8 40
10 11 10
10 12 40
10 14 20
11 3 40
11 4 40
11 5 40
11 12 10
11 13 40
11 14 20
12 1 20
12 3 10
12 5 40
12 7 20
12 9 40
12 14 40
13 7 10
13 10 20
13 12 20
13 14 20
